step;type_id;amount;nameOrig;oldbalanceOrg;newbalanceOrig;nameDest;oldbalanceDest;newbalanceDest;isFraud;isFlaggedFraud
16;1;171267.01;C342385813;91788.0;263055.01;C1326285041;130023.06;0.0;0;0
13;2;15149.15;C1819823204;158857.0;143707.85;C1828290290;0.0;15149.15;0;0
12;2;118064.98;C1030324341;2709701.0;2591636.02;C242783599;187337.43;305402.4;0;0
11;1;122327.22;C1409524889;5297757.38;5420084.59;C1276977413;250489.72;128162.5;0;0
11;1;129449.3;C818391416;177.0;129626.3;C189856885;261301.81;272398.17;0;0
17;2;109365.1;C1937809829;0.0;0.0;C148229552;207150.29;520523.85;0;0
21;1;209920.22;C489937212;2655286.15;2865206.37;C2060095351;416664.88;206744.66;0;0
14;3;5467.13;C1791489057;315.0;0.0;M1116606077;0.0;0.0;0;0
22;4;116959.85;C792428306;0.0;0.0;C1001569598;550850.91;667810.76;0;0
20;1;372582.92;C110996816;2352588.98;2725171.9;C2078879285;647706.15;275123.23;0;0
36;2;336447.7;C1651931699;291.0;0.0;C1082148871;0.0;336447.7;0;0
16;2;143667.87;C1875041117;0.0;0.0;C1517016560;2551697.83;2998386.2;0;0
20;2;208956.06;C468596547;51699.0;0.0;C1102992549;0.0;362718.6;0;0
37;3;8513.52;C782687583;0.0;0.0;M1973432380;0.0;0.0;0;0
12;1;23069.18;C1740487745;4938125.16;4961194.34;C1368114983;2878518.46;2281528.66;0;0
7;1;294780.75;C1795014868;4097511.35;4392292.1;C2040603986;835237.21;1930179.38;0;0
41;3;6863.64;C96771120;0.0;0.0;M1646603109;0.0;0.0;0;0
34;2;167569.45;C725483431;0.0;0.0;C1528093028;384409.11;551978.56;0;0
17;2;315870.25;C1766194574;113381.0;0.0;C1640183084;846186.86;1162057.11;0;0
13;2;79811.27;C119334566;0.0;0.0;C838658669;181444.32;954139.45;0;0
39;4;119879.68;C1334680124;30096.0;0.0;C1393744220;1257215.31;1655197.53;0;0
40;2;125078.96;C524668575;15932.19;0.0;C1472597158;2015354.88;2140433.85;0;0
19;1;251956.1;C1537237956;10307527.66;10559483.76;C803156040;3526786.66;3686670.09;0;0
13;2;176805.03;C1664514350;0.0;0.0;C1523483543;1329025.4;1505830.44;0;0
14;3;19518.73;C895693375;0.0;0.0;M1041981071;0.0;0.0;0;0
43;2;121900.01;C1134974077;0.0;0.0;C1197459762;2758920.42;2884202.29;0;0
12;3;5103.98;C1208836079;0.0;0.0;M1692038307;0.0;0.0;0;0
19;2;195029.53;C1503932117;149298.42;0.0;C270908590;44353.81;365573.36;0;0
34;1;59016.76;C370165676;10613503.36;10672520.13;C2074013686;218951.31;159934.55;0;0
44;3;12459.7;C533262572;0.0;0.0;M2145847704;0.0;0.0;0;0
41;3;11767.23;C1100218200;20100.0;8332.77;M882087894;0.0;0.0;0;0
42;2;121777.03;C1637085169;0.0;0.0;C613027622;897426.48;1019203.51;0;0
9;2;380044.03;C2064896473;266.0;0.0;C1354183876;25595.98;570314.95;0;0
23;2;27934.99;C1431826208;0.0;0.0;C1006358184;647031.44;674966.43;0;0
94;2;185882.15;C1012145317;0.0;0.0;C497487288;846019.66;1031901.81;0;0
15;4;1013159.03;C1931303871;143.0;0.0;C854696794;0.0;1013159.03;0;0
42;2;361620.38;C742781584;0.0;0.0;C302990201;916466.79;1278087.17;0;0
15;1;84368.29;C1570537987;7363833.81;7448202.09;C1480968030;1324232.38;1199090.3;0;0
