step,type,amount,balanceSender,balanceReceiver,isFraud,errorBalanceSender,errorBalanceReceiver
8,0,140116.48,0.0,532921.62,0,-98440.48000000001,-145648.59999999998
32,1,2023920.09,0.0,-1.0,1,0.0,2023920.09
94,0,299919.71,0.0,994725.55,0,-258243.71000000002,0.0
13,0,249045.05,0.0,538506.68,0,-235409.93,0.009999999892897904
44,0,309904.46,0.0,952164.98,0,-268228.46,-298821.80999999994
20,1,240436.13,0.0,1639593.81,0,-216017.13,0.009999999776482582
40,0,288464.25,0.0,288464.25,0,-268182.25,0.0
8,0,102098.32,0.0,123458.32,0,-91915.32,0.0
37,1,201632.88,0.0,628315.46,0,-159956.88,0.0
36,1,199398.46,0.0,1262759.67,0,-157722.46,-107872.32999999984
37,1,948702.84,0.0,3030052.48,0,-942239.96,0.009999999776482582
95,0,655676.97,0.0,709291.25,1,0.0,0.0
42,0,330716.89,0.0,4615998.6,0,-289040.89,0.0
22,0,379878.0,0.0,1681292.19,1,0.0,0.0
22,0,365030.02,0.0,934117.59,0,-344703.56,0.0
17,0,75782.46,0.0,558939.03,0,-34106.46000000001,-333437.75
36,0,442822.15,0.0,652709.07,0,-401086.15,1.1641532182693481e-10
43,0,11727.63,239427.37,11727.63,0,0.0,0.0
19,0,62375.52,0.0,1953114.44,0,-20699.519999999997,-1159164.89
42,0,214431.81,0.0,128082.61,0,-205859.81,86349.2
9,0,350705.74,0.0,1794033.65,1,0.0,-548567.23
22,0,52926.7,0.0,119475.93,0,-47799.7,0.0
71,1,322113.91,0.0,-1.0,1,0.0,322113.91
81,0,78028.89,0.0,551548.31,1,0.0,-1.1641532182693481e-10
35,0,31208.18,0.0,284779.09,0,10467.82,-0.010000000009313226
14,0,203342.75,0.0,203342.75,0,-188893.75,0.0
19,0,196268.4,0.0,460566.69,0,-154592.4,-0.009999999951105565
21,0,249892.46,0.0,1243527.61,0,-190514.71,0.0
41,1,647516.29,0.0,1993234.25,0,-598437.03,0.0
15,1,119.0,0.0,-1.0,1,0.0,119.0
10,0,176989.05,0.0,236293.79,0,-161359.05,-2.9103830456733704e-11
7,1,226837.37,0.0,314551.85,0,-164927.37,-87714.47999999998
16,0,309763.61,0.0,5226001.03,0,-301660.61,-908585.9299999997
36,0,75996.94,0.0,133060.08,0,-54515.94,-0.009999999980209395
9,1,926409.85,0.0,1317430.18,0,-723320.85,-361225.32999999996
33,0,165036.86,0.0,229594.04,0,-115098.85999999999,0.009999999980209395
42,0,463836.46,0.0,789656.05,0,-280567.46,0.0
33,0,96330.02,0.0,5738127.68,0,-54654.020000000004,-0.009999999776482582
8,0,89631.24,0.0,0.0,1,0.0,110806.24
44,0,15835.93,0.0,601153.97,0,25840.07,1.1641532182693481e-10
35,1,3606943.31,0.0,-1.0,1,0.0,3606943.31
12,1,471450.86,0.0,1463294.31,0,-429774.86,0.0
20,0,173542.18,0.0,1043089.47,0,-119008.18,-66951.31000000006
43,1,744247.75,0.0,744247.75,0,-551769.75,0.0
12,0,96066.36,0.0,414872.08,0,-54390.36,-50306.29000000004
34,0,989311.12,0.0,1998681.36,1,0.0,-2.3283064365386963e-10
9,0,291363.57,2098523.32,1143218.56,0,4.656612873077393e-10,-280871.42000000016
38,0,140084.43,0.0,2541641.27,0,-139937.43,0.01000000024214387
13,0,334785.63,0.0,478013.51,0,-293827.63,0.0
39,1,492608.95,0.0,1147570.01,0,-450932.95,-0.010000000009313226
40,0,66529.58,0.0,1623427.43,0,-15069.580000000002,2.3283064365386963e-10
15,1,1113359.12,0.0,3635285.98,0,-1071683.12,-8949.229999999981
9,0,109146.37,829453.54,1639884.07,0,0.0,-570546.9200000002
16,1,362283.98,0.0,1523840.82,0,-320607.98,0.010000000009313226
9,0,223561.9,0.0,1924274.27,0,-181885.9,-232013.4800000002
13,1,46695.35,0.0,9027019.98,0,-5019.3499999999985,173123.38999999873
15,0,311574.81,0.0,736307.06,0,-269898.81,0.0
16,0,231576.13,0.0,855971.1,0,-189900.13,-206921.15000000002
38,0,384322.08,0.0,1374465.03,0,-342646.08,0.0
12,1,3964129.99,0.0,-1.0,1,0.0,3964129.99
55,1,854550.85,0.0,-1.0,1,0.0,854550.85
33,1,1154585.76,0.0,2460638.19,0,-1112909.76,0.0
34,0,29604.64,149896.36,0.0,0,0.0,62494.34
38,0,580963.09,0.0,1516495.49,0,-539287.09,0.0
41,0,349780.37,0.0,442966.85,0,-277480.37,0.0
40,0,203840.61,0.0,495293.52,0,-162164.61,-5.820766091346741e-11
10,0,343514.02,0.0,909733.61,0,-243897.02000000002,202176.39
16,0,228046.55,81291.45,3684857.53,0,1.4551915228366852e-11,0.0
43,0,435166.65,0.0,884382.5,1,0.0,0.0
16,1,828720.89,0.0,-1.0,1,0.0,828720.89
17,0,31268.21,38560.79,599146.98,0,0.0,-60979.01000000001
11,0,368875.61,0.0,368875.61,0,-358605.61,0.0
15,0,236488.29,0.0,924411.22,0,-194812.29,181376.72999999998
14,0,122823.14,0.0,748098.89,0,-81147.14,0.0
74,0,85637.08,0.0,320774.13,1,0.0,0.010000000009313226
16,0,240869.1,0.0,1917774.24,0,-217861.1,-770139.47
8,0,291558.06,0.0,1642701.33,0,-249882.06,-931950.3900000001
36,0,118853.42,0.0,416425.14,0,-77177.42,-5.820766091346741e-11
9,0,221433.98,0.0,1053667.42,0,-88679.98000000001,-313163.35999999987
9,0,254009.94,0.0,-1.0,0,-242181.94,254009.94
42,0,114515.81,0.0,429591.54,0,-72839.81,0.0
15,0,43331.1,0.0,437290.29,0,-43105.1,-0.010000000009313226
14,1,847908.78,0.0,3049042.31,0,-806232.78,-4.656612873077393e-10
15,1,259705.5,0.0,2327118.74,0,-218029.5,0.0
36,0,227190.32,128892.36,524058.59,0,-0.010000000023865141,0.0
40,1,29304.06,0.0,349000.83,0,12371.939999999999,0.0
17,0,22273.36,74764.63,987378.63,0,0.00999999999476131,0.0
7,1,5460002.91,0.0,-1.0,1,0.0,5460002.91
33,0,148252.88,0.0,21948965.29,0,-106576.88,0.0
36,0,188079.15,0.0,979170.29,0,-146403.15,0.0
10,0,318895.24,0.0,2874894.2,0,-277219.24,-472365.8100000005
38,0,21534.11,70328.89,1406917.37,0,0.0,-0.010000000009313226
18,0,508782.2,0.0,1590789.85,1,-467106.2,-2.3283064365386963e-10
36,0,30874.57,0.0,163864.75,0,10801.43,0.010000000009313226
42,1,1051375.98,0.0,2837918.63,0,-1009699.98,0.0
83,1,365099.76,0.0,-1.0,1,0.0,365099.76
42,0,92714.82,0.0,537035.76,0,-51038.82000000001,-5491.5
11,0,432224.74,0.0,1313688.45,0,-390548.74,611398.55
34,1,996113.77,0.0,20989361.46,0,-967379.77,0.0
23,0,27934.99,0.0,674966.43,0,13741.009999999998,-1.1641532182693481e-10
12,1,754987.93,0.0,10538106.59,0,-713311.93,0.009999999776482582
12,0,142021.2,0.0,777728.02,0,-100345.20000000001,-270961.07
37,0,367877.47,0.0,6007896.9,0,-326201.47,-0.010000000707805157
45,0,293191.31,0.0,2771662.92,0,-267486.36,0.0
9,0,44952.74,0.0,447152.6,0,-3276.739999999998,-213249.02
46,0,275124.13,0.0,2913334.54,0,-233448.13,0.0
19,0,88027.02,0.0,936633.15,0,-38046.020000000004,-249724.61
66,1,107188.41,0.0,-1.0,1,0.0,107188.41
44,1,313930.07,0.0,678199.31,0,-272254.07,0.0
9,0,213275.45,0.0,349701.67,0,-171599.45,114644.76000000007
14,0,381933.08,0.0,862203.8,0,-359756.08,-480270.72000000003
9,0,118426.58,0.0,530474.27,0,-76750.58,-292456.56
41,1,439307.27,0.0,1525318.78,0,-174846.90000000002,0.010000000009313226
2,1,1096187.24,0.0,-1.0,1,0.0,1096187.24
10,0,23992.17,0.0,799577.68,0,17683.83,-217800.89
20,0,111327.15,3900.85,504007.79,0,5.9117155615240335e-12,5.820766091346741e-11
39,0,108973.51,0.0,108973.51,0,-73335.51,0.0
47,0,156011.24,0.0,308251.2,1,0.0,-5.820766091346741e-11
42,0,34941.03,71186.97,44092.69,0,0.0,-9151.660000000003
41,0,23106.62,0.0,635357.86,0,18569.38,-0.010000000009313226
10,0,188377.39,273896.55,2522125.67,0,0.010000000009313226,-0.009999999776482582
